Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
83642,2,10,23,4,N,K,Y,B,D,E,2,H,B,10,0,A,K,N,52,14,N,8,C,2,37,1,11,2,Y,N,E,2,1
92530,6,3,18,2,B,H,N,B,B,D,8,L,B,10,3,A,B,N,39,14,Y,13,A,2,34,1,12,7,Y,N,C,3,3
86131,4,5,20,4,B,K,N,B,B,E,7,H,B,15,1,A,K,N,66,10,N,8,C,1,40,1,17,4,Y,N,D,1,1
88666,1,4,7,5,N,H,N,B,B,B,8,B,B,15,3,A,B,N,48,11,N,11,B,2,37,1,11,6,Y,N,D,2,1
11122,21,10,21,6,N,C,Y,B,C,D,12,L,B,10,1,A,I,N,42,11,N,11,A,2,40,1,6,6,N,N,D,5,5
98526,1,15,7,2,N,C,Y,B,B,D,8,B,B,10,3,A,I,N,69,16,N,16,C,2,37,1,5,3,Y,N,E,2,1
6427,1,8,18,1,B,I,N,B,B,E,3,H,B,10,3,A,R,N,68,15,N,4,A,2,25,1,17,3,Y,N,E,2,1
97829,7,12,4,3,N,K,N,B,B,E,12,N,B,20,1,A,K,N,58,23,N,15,A,1,34,1,25,4,Y,N,E,1,5
19727,1,5,4,3,N,A,N,B,B,D,8,B,B,20,2,A,B,Y,64,8,Y,7,A,2,40,1,7,6,Y,Y,E,3,3
58512,1,6,1,1,B,A,N,B,B,D,3,A,B,10,3,A,I,N,51,9,N,6,C,2,28,1,6,6,Y,N,E,2,1
62090,1,5,12,2,C,A,Y,B,A,D,12,E,B,15,1,A,D,N,49,7,N,2,B,3,25,1,13,3,N,N,A,3,1
76404,4,9,5,3,B,C,N,B,B,D,3,B,B,10,3,A,A,N,44,12,Y,17,A,1,22,1,8,5,Y,N,C,1,5
