DATE,Humidity,Temperature,Electricity
2020-01-01 00:00:00 EST,92,-1.1,914
2020-01-01 01:00:00 EST,92,-1.5,887
2020-01-01 02:00:00 EST,91,-1.5,865
2020-01-01 03:00:00 EST,88,-1.1,852
2020-01-01 04:00:00 EST,87,-1.3,852
2020-01-01 05:00:00 EST,88,-1.1,870
2020-01-01 06:00:00 EST,88,-0.9,902
2020-01-01 07:00:00 EST,89,-0.9,921
2020-01-01 08:00:00 EST,90,-0.9,940
2020-01-01 09:00:00 EST,92,-0.9,975
2020-01-01 10:00:00 EST,93,-0.5,1001
2020-01-01 11:00:00 EST,91,-0.1,1023
2020-01-01 12:00:00 EST,90,0,1043
2020-01-01 13:00:00 EST,90,0.3,1041
2020-01-01 14:00:00 EST,89,0.7,1033
2020-01-01 15:00:00 EST,86,0.7,1025
2020-01-01 16:00:00 EST,88,0.2,1096
2020-01-01 17:00:00 EST,87,0.3,1158
2020-01-01 18:00:00 EST,80,0.3,1127
2020-01-01 19:00:00 EST,91,-0.1,1096
2020-01-01 20:00:00 EST,91,-0.6,1068
2020-01-01 21:00:00 EST,90,-0.6,1043
2020-01-01 22:00:00 EST,84,-0.8,989
2020-01-01 23:00:00 EST,83,-1,925
2020-01-02 00:00:00 EST,79,-1.4,879
2020-01-02 01:00:00 EST,82,-2,852
2020-01-02 02:00:00 EST,81,-2.8,839
2020-01-02 03:00:00 EST,85,-3.5,836
2020-01-02 04:00:00 EST,85,-3.7,854
2020-01-02 05:00:00 EST,86,-3.6,897
2020-01-02 06:00:00 EST,90,-4.1,982
2020-01-02 07:00:00 EST,91,-3.8,1047
2020-01-02 08:00:00 EST,92,-3.1,1078
2020-01-02 09:00:00 EST,91,-2.5,1094
2020-01-02 10:00:00 EST,84,0.3,1096
2020-01-02 11:00:00 EST,84,1.2,1098
2020-01-02 12:00:00 EST,81,2.4,1085
2020-01-02 13:00:00 EST,78,3.1,1066
2020-01-02 14:00:00 EST,77,3.1,1074
2020-01-02 15:00:00 EST,76,3.2,1103
2020-01-02 16:00:00 EST,76,3.2,1166
2020-01-02 17:00:00 EST,73,3.5,1229
2020-01-02 18:00:00 EST,71,3.6,1198
2020-01-02 19:00:00 EST,68,3.9,1169
2020-01-02 20:00:00 EST,66,4.1,1133
2020-01-02 21:00:00 EST,67,3.9,1108
2020-01-02 22:00:00 EST,69,3.8,1028
2020-01-02 23:00:00 EST,72,3.5,942
2020-01-03 00:00:00 EST,77,3.1,885
2020-01-03 01:00:00 EST,77,3.3,847
2020-01-03 02:00:00 EST,79,3.1,844
2020-01-03 03:00:00 EST,79,3,834
2020-01-03 04:00:00 EST,81,3,834
2020-01-03 05:00:00 EST,83,3,884
2020-01-03 06:00:00 EST,83,3.4,942
2020-01-03 07:00:00 EST,86,3,1012
2020-01-03 08:00:00 EST,86,3.1,1070
2020-01-03 09:00:00 EST,86,3.5,1065
2020-01-03 10:00:00 EST,84,3.6,1063
2020-01-03 11:00:00 EST,83,3.9,1076
2020-01-03 12:00:00 EST,82,4.2,1088
2020-01-03 13:00:00 EST,81,4.5,1085
2020-01-03 14:00:00 EST,80,4.7,1092
2020-01-03 15:00:00 EST,81,4.4,1102
2020-01-03 16:00:00 EST,78,4,1154
2020-01-03 17:00:00 EST,85,3.5,1188
2020-01-03 18:00:00 EST,87,2.9,1173
2020-01-03 19:00:00 EST,87,2.9,1146
2020-01-03 20:00:00 EST,84,2.7,1103
2020-01-03 21:00:00 EST,77,2.5,1053
2020-01-03 22:00:00 EST,78,2.3,1001
2020-01-03 23:00:00 EST,84,1.3,939
2020-01-04 00:00:00 EST,81,1.5,885
2020-01-04 01:00:00 EST,80,1.3,851
2020-01-04 02:00:00 EST,80,1.1,825
2020-01-04 03:00:00 EST,80,1,802
2020-01-04 04:00:00 EST,81,0.7,819
2020-01-04 05:00:00 EST,83,0.5,845
2020-01-04 06:00:00 EST,84,0.4,888
2020-01-04 07:00:00 EST,81,0.2,936
2020-01-04 08:00:00 EST,77,0.1,989
2020-01-04 09:00:00 EST,78,0.1,1038
2020-01-04 10:00:00 EST,79,0.1,1073
2020-01-04 11:00:00 EST,91,-0.6,1077
2020-01-04 12:00:00 EST,93,-0.4,1063
2020-01-04 13:00:00 EST,92,-0.4,1064
2020-01-04 14:00:00 EST,93,-0.5,1060
2020-01-04 15:00:00 EST,93,-0.8,1101
2020-01-04 16:00:00 EST,95,-0.9,1143
2020-01-04 17:00:00 EST,95,-1,1186
2020-01-04 18:00:00 EST,95,-0.8,1159
2020-01-04 19:00:00 EST,95,-1,1125
2020-01-04 20:00:00 EST,90,-1.2,1088
2020-01-04 21:00:00 EST,86,-1.7,1050
2020-01-04 22:00:00 EST,86,-1.9,992
2020-01-04 23:00:00 EST,87,-2.1,929
2020-01-05 00:00:00 EST,82,-2.5,880
2020-01-05 01:00:00 EST,79,-3,861
2020-01-05 02:00:00 EST,79,-3.4,842
2020-01-05 03:00:00 EST,75,-4,848
2020-01-05 04:00:00 EST,82,-5.2,851
2020-01-05 05:00:00 EST,79,-5.8,872
2020-01-05 06:00:00 EST,78,-7,900
2020-01-05 07:00:00 EST,78,-7.5,945
2020-01-05 08:00:00 EST,77,-7.5,1002
2020-01-05 09:00:00 EST,77,-7.3,1042
2020-01-05 10:00:00 EST,73,-7.1,1071
2020-01-05 11:00:00 EST,70,-6.9,1084
2020-01-05 12:00:00 EST,72,-6.9,1083
2020-01-05 13:00:00 EST,78,-7.1,1070
2020-01-05 14:00:00 EST,70,-6.7,1075
2020-01-05 15:00:00 EST,63,-6.2,1113
2020-01-05 16:00:00 EST,65,-6.9,1207
2020-01-05 17:00:00 EST,69,-8.1,1294
2020-01-05 18:00:00 EST,73,-8.4,1271
2020-01-05 19:00:00 EST,70,-7.6,1242
2020-01-05 20:00:00 EST,77,-8.7,1224
2020-01-05 21:00:00 EST,83,-11,1170
2020-01-05 22:00:00 EST,85,-10.8,1091
2020-01-05 23:00:00 EST,86,-11.4,1027
2020-01-06 00:00:00 EST,84,-10.9,991
2020-01-06 01:00:00 EST,85,-11.4,959
2020-01-06 02:00:00 EST,83,-11.2,955
2020-01-06 03:00:00 EST,81,-10.9,967
2020-01-06 04:00:00 EST,82,-10.8,990
2020-01-06 05:00:00 EST,84,-10.7,1052
2020-01-06 06:00:00 EST,86,-10.5,1169
2020-01-06 07:00:00 EST,86,-10.8,1264
2020-01-06 08:00:00 EST,87,-10.5,1288
2020-01-06 09:00:00 EST,86,-9.9,1270
2020-01-06 10:00:00 EST,86,-9.6,1271
2020-01-06 11:00:00 EST,86,-9.3,1263
2020-01-06 12:00:00 EST,86,-8.9,1228
2020-01-06 13:00:00 EST,86,-8.4,1241
2020-01-06 14:00:00 EST,85,-7.7,1223
2020-01-06 15:00:00 EST,87,-7.6,1237
2020-01-06 16:00:00 EST,89,-7.2,1308
2020-01-06 17:00:00 EST,90,-7.5,1387
2020-01-06 18:00:00 EST,90,-7.4,1346
2020-01-06 19:00:00 EST,90,-6.7,1323
2020-01-06 20:00:00 EST,92,-7.3,1288
2020-01-06 21:00:00 EST,92,-7.7,1226
2020-01-06 22:00:00 EST,91,-8.4,1129
2020-01-06 23:00:00 EST,77,-4.4,1050
2020-01-07 00:00:00 EST,68,-4.7,977
2020-01-07 01:00:00 EST,70,-5.9,960
2020-01-07 02:00:00 EST,65,-4.4,928
2020-01-07 03:00:00 EST,72,-5,935
2020-01-07 04:00:00 EST,66,-4.5,948
2020-01-07 05:00:00 EST,69,-5.2,1000
2020-01-07 06:00:00 EST,76,-5.8,1121
2020-01-07 07:00:00 EST,79,-6.1,1211
2020-01-07 08:00:00 EST,82,-6.6,1196
2020-01-07 09:00:00 EST,82,-6.8,1166
2020-01-07 10:00:00 EST,78,-5.1,1106
2020-01-07 11:00:00 EST,78,-4.7,1079
2020-01-07 12:00:00 EST,70,-3,1065
2020-01-07 13:00:00 EST,68,-1.4,1094
2020-01-07 14:00:00 EST,65,-0.7,1124
2020-01-07 15:00:00 EST,65,-0.7,1141
2020-01-07 16:00:00 EST,67,-1,1234
2020-01-07 17:00:00 EST,71,-1.9,1310
2020-01-07 18:00:00 EST,71,-1.5,1243
2020-01-07 19:00:00 EST,73,-1.2,1257
2020-01-07 20:00:00 EST,74,-0.8,1217
2020-01-07 21:00:00 EST,80,-2.2,1153
2020-01-07 22:00:00 EST,81,-3,1067
2020-01-07 23:00:00 EST,81,-2.6,982
2020-01-08 00:00:00 EST,83,-2.9,936
2020-01-08 01:00:00 EST,83,-2.1,884
2020-01-08 02:00:00 EST,78,-1.3,895
2020-01-08 03:00:00 EST,86,-1.5,895
2020-01-08 04:00:00 EST,86,-1.5,935
2020-01-08 05:00:00 EST,94,-2.2,966
2020-01-08 06:00:00 EST,95,-2.5,1079
2020-01-08 07:00:00 EST,94,-2.5,1166
2020-01-08 08:00:00 EST,92,-2.1,1151
2020-01-08 09:00:00 EST,87,-2.2,1157
2020-01-08 10:00:00 EST,83,-2.5,1155
2020-01-08 11:00:00 EST,78,-2.6,1143
2020-01-08 12:00:00 EST,72,-2.7,1130
2020-01-08 13:00:00 EST,65,-3,1151
2020-01-08 14:00:00 EST,62,-3.8,1155
2020-01-08 15:00:00 EST,61,-5.4,1208
2020-01-08 16:00:00 EST,63,-7.5,1281
2020-01-08 17:00:00 EST,65,-9.1,1393
2020-01-08 18:00:00 EST,68,-10,1367
