return_date,product_id,store_id,quantity
1/1/2020,250,6,1
1/1/2020,628,6,1
1/1/2020,869,6,1
1/2/2020,469,11,1
1/2/2020,532,23,2
1/2/2020,742,23,1
1/2/2020,761,11,1
1/2/2020,1396,11,1
1/3/2020,1,7,4
1/3/2020,365,7,5
1/3/2020,385,7,8
1/3/2020,671,7,4
1/3/2020,1329,23,9
1/5/2020,70,15,9
1/5/2020,461,7,9
1/5/2020,469,23,5
1/5/2020,850,7,5
1/5/2020,927,7,5
1/5/2020,961,23,4
1/5/2020,987,23,5
1/5/2020,1117,23,3
1/5/2020,1292,15,5
1/5/2020,1458,23,4
1/6/2020,23,24,5
1/6/2020,40,24,9
1/6/2020,43,6,8
1/6/2020,85,24,7
1/6/2020,193,24,4
1/6/2020,464,3,3
1/6/2020,918,3,9
1/6/2020,1104,24,2
1/6/2020,1296,3,1
1/7/2020,310,13,1
1/7/2020,418,13,1
1/7/2020,599,13,1
1/7/2020,638,13,1
1/7/2020,1078,13,1
1/7/2020,1152,13,2
1/7/2020,1257,11,1
1/9/2020,132,23,1
1/9/2020,254,3,1
1/9/2020,290,3,1
1/9/2020,568,23,1
1/9/2020,1081,3,2
1/9/2020,1164,3,1
1/9/2020,1230,3,1
1/9/2020,1371,23,1
1/10/2020,12,24,26
1/10/2020,238,24,30
1/10/2020,358,24,16
1/10/2020,964,24,27
1/11/2020,75,13,12
1/11/2020,107,13,28
1/11/2020,188,13,26
1/11/2020,189,13,12
1/11/2020,229,13,25
1/11/2020,391,13,17
1/11/2020,412,24,38
1/11/2020,475,13,14
1/11/2020,484,6,23
1/11/2020,569,13,24
1/11/2020,590,13,37
1/11/2020,594,17,27
1/11/2020,669,17,20
1/11/2020,804,13,18
1/11/2020,915,24,31
1/11/2020,950,6,24
1/11/2020,959,13,17
1/11/2020,992,13,16
1/11/2020,1046,13,28
1/11/2020,1049,13,17
1/11/2020,1063,13,21
1/11/2020,1226,13,10
1/11/2020,1319,13,12
1/11/2020,1327,24,18
1/11/2020,1393,13,35
1/11/2020,1404,13,30
1/11/2020,1445,13,30
1/12/2020,361,7,26
1/12/2020,726,7,22
1/13/2020,466,17,29
1/13/2020,551,17,20
1/13/2020,592,17,30
1/13/2020,895,17,16
1/13/2020,982,17,23
1/13/2020,1107,15,35
1/13/2020,1291,3,33
1/13/2020,1523,15,35
1/13/2020,1531,17,33
1/14/2020,439,6,27
1/14/2020,1098,6,20
1/15/2020,366,24,33
1/15/2020,603,24,17
1/15/2020,879,24,11
1/15/2020,1162,24,37
1/15/2020,1179,24,37
1/16/2020,391,17,11
1/16/2020,551,17,2
1/16/2020,760,17,2
1/16/2020,1043,17,1
1/16/2020,1398,17,1
1/16/2020,1439,17,1
1/17/2020,17,6,1
1/17/2020,176,11,1
1/17/2020,194,6,2
1/17/2020,320,24,1
1/17/2020,598,24,2
1/17/2020,865,24,1
1/17/2020,952,11,2
1/17/2020,954,24,2
1/17/2020,1004,11,1
1/17/2020,1271,24,1
1/18/2020,13,15,1
1/18/2020,139,15,1
1/18/2020,360,15,1
1/18/2020,537,15,1
1/19/2020,167,7,1
1/19/2020,434,16,1
1/19/2020,455,7,1
1/19/2020,497,7,1
1/19/2020,1051,16,1
1/19/2020,1337,7,1
1/19/2020,1463,7,1
1/19/2020,1496,16,2
1/19/2020,1542,7,1
1/20/2020,93,11,1
1/20/2020,100,13,1
1/20/2020,197,16,1
1/20/2020,271,13,1
1/20/2020,443,7,1
1/20/2020,563,16,1
