transaction_date,stock_date,product_id,customer_id,store_id,quantity
1/1/2020,12/31/2019,869,3449,6,59
1/1/2020,12/31/2019,1472,3449,6,24
1/1/2020,12/28/2019,76,3449,6,1
1/1/2020,12/26/2019,320,3449,6,59
1/1/2020,12/25/2019,4,3449,6,16
1/1/2020,12/30/2019,952,3449,6,1
1/1/2020,12/31/2019,1222,3449,6,10
1/1/2020,12/30/2019,517,7859,6,53
1/1/2020,12/27/2019,1359,7859,6,60
1/1/2020,12/31/2019,357,106,6,5
1/1/2020,12/27/2019,1426,106,6,55
1/1/2020,12/26/2019,190,106,6,45
1/1/2020,12/28/2019,367,106,6,9
1/1/2020,12/29/2019,250,106,6,4
1/1/2020,12/26/2019,600,106,6,18
1/1/2020,12/29/2019,702,8248,6,1
1/1/2020,12/27/2019,786,8248,6,59
1/1/2020,12/30/2019,536,8248,6,5
1/1/2020,12/27/2019,1285,8248,6,57
1/1/2020,12/29/2019,596,8248,6,1
1/1/2020,12/27/2019,846,1906,6,30
1/1/2020,12/31/2019,769,1906,6,1
1/1/2020,12/26/2019,586,1906,6,58
1/1/2020,12/28/2019,1135,1906,6,2
1/1/2020,12/25/2019,1046,1906,6,8
1/1/2020,12/25/2019,170,1906,6,9
1/1/2020,12/26/2019,885,5802,6,1
1/1/2020,12/28/2019,236,5802,6,22
1/1/2020,12/30/2019,1039,5802,6,42
1/1/2020,12/25/2019,603,5802,6,36
1/1/2020,12/29/2019,616,4825,6,1
1/1/2020,12/30/2019,1432,4825,6,1
1/1/2020,12/30/2019,544,4825,6,2
1/1/2020,12/28/2019,920,4825,6,39
1/1/2020,12/30/2019,1349,4825,6,14
1/1/2020,12/30/2019,1093,5262,6,23
1/1/2020,12/28/2019,417,5262,6,4
1/1/2020,12/26/2019,887,5262,6,60
1/1/2020,12/27/2019,1449,5262,6,31
1/1/2020,12/26/2019,494,5262,6,30
1/1/2020,12/28/2019,1070,5262,6,35
1/1/2020,12/27/2019,657,2571,6,2
1/1/2020,12/25/2019,967,2571,6,11
1/1/2020,12/26/2019,1483,2200,6,10
1/1/2020,12/25/2019,48,2200,6,26
1/1/2020,12/26/2019,830,9068,6,26
1/1/2020,12/27/2019,1179,9068,6,20
1/1/2020,12/25/2019,131,9068,6,44
1/1/2020,12/25/2019,574,9068,6,6
1/1/2020,12/30/2019,1217,9068,6,11
1/1/2020,12/29/2019,707,7854,6,48
1/1/2020,12/26/2019,817,7854,6,22
1/1/2020,12/25/2019,831,1900,6,19
1/1/2020,12/27/2019,1247,1900,6,57
1/1/2020,12/29/2019,1143,1900,6,22
1/1/2020,12/25/2019,628,1900,6,32
1/1/2020,12/27/2019,1037,2533,6,45
1/1/2020,12/26/2019,1360,2533,6,47
1/1/2020,12/29/2019,1537,2533,6,12
1/1/2020,12/30/2019,1420,2533,6,56
1/1/2020,12/25/2019,212,2533,6,56
1/1/2020,12/30/2019,721,2533,6,4
1/1/2020,12/31/2019,1164,2533,6,21
1/1/2020,12/31/2019,1067,3175,6,53
1/1/2020,12/29/2019,524,3175,6,29
1/1/2020,12/30/2019,181,3175,6,2
1/1/2020,12/31/2019,797,3175,6,39
1/1/2020,12/31/2019,507,3175,6,41
1/1/2020,12/26/2019,851,2688,6,30
1/1/2020,12/25/2019,1173,2688,6,38
1/1/2020,12/27/2019,1350,2688,6,50
1/1/2020,12/27/2019,1233,2688,6,5
1/1/2020,12/25/2019,25,2688,6,45
1/1/2020,12/29/2019,534,2688,6,6
1/1/2020,12/28/2019,987,6788,6,35
1/1/2020,12/31/2019,738,6788,6,7
1/1/2020,12/31/2019,1487,6788,6,34
1/1/2020,12/27/2019,798,6788,6,3
1/1/2020,12/25/2019,927,5990,6,48
1/1/2020,12/31/2019,505,5990,6,12
1/1/2020,12/30/2019,627,5990,6,40
1/1/2020,12/30/2019,238,9357,6,22
1/1/2020,12/26/2019,282,9357,6,19
1/1/2020,12/29/2019,565,9357,6,36
1/1/2020,12/26/2019,860,9357,6,49
1/1/2020,12/27/2019,704,9357,6,3
1/1/2020,12/26/2019,519,2438,6,25
1/1/2020,12/26/2019,974,2438,6,59
1/1/2020,12/26/2019,752,2438,6,5
1/1/2020,12/31/2019,275,2438,6,11
1/1/2020,12/31/2019,1290,2438,6,57
1/1/2020,12/30/2019,1361,2438,6,40
1/1/2020,12/28/2019,558,6913,6,47
1/1/2020,12/31/2019,442,6913,6,43
1/1/2020,12/25/2019,791,6913,6,47
1/1/2020,12/31/2019,1301,6913,6,15
1/1/2020,12/26/2019,1257,6062,6,56
1/1/2020,12/27/2019,1461,6062,6,29
1/1/2020,12/30/2019,119,6062,6,16
1/1/2020,12/25/2019,932,6613,14,11
1/1/2020,12/28/2019,761,6613,14,38
1/1/2020,12/30/2019,1435,8830,14,3
1/1/2020,12/29/2019,785,8830,14,32
1/1/2020,12/29/2019,1175,8830,14,5
1/1/2020,12/30/2019,1152,8830,14,34
1/1/2020,12/28/2019,76,8830,14,41
1/1/2020,12/28/2019,186,8830,14,16
1/1/2020,12/25/2019,243,5005,14,27
1/1/2020,12/31/2019,1245,5005,14,1
1/1/2020,12/27/2019,209,5005,14,22
1/1/2020,12/28/2019,1345,5005,14,35
1/1/2020,12/28/2019,1468,5005,14,60
1/1/2020,12/25/2019,240,7962,14,22
1/1/2020,12/26/2019,84,7962,14,42
1/1/2020,12/30/2019,966,7962,14,12
1/1/2020,12/27/2019,1022,7962,14,30
1/1/2020,12/29/2019,440,7962,14,9
1/2/2020,12/26/2019,456,9331,11,34
1/2/2020,12/30/2019,1537,9331,11,29
1/2/2020,12/27/2019,994,9331,11,46
1/2/2020,12/28/2019,1065,9331,11,5
1/2/2020,12/27/2019,928,4808,11,18
1/2/2020,12/26/2019,1265,4808,11,9
1/2/2020,12/28/2019,1448,9213,11,56
1/2/2020,12/31/2019,119,9213,11,13
1/2/2020,12/26/2019,162,9213,11,46
1/2/2020,12/28/2019,445,9213,11,27
1/2/2020,12/26/2019,1154,9213,11,41
1/2/2020,1/1/2018,1208,1915,11,43
1/2/2020,1/1/2018,399,1915,11,48
1/2/2020,12/29/2019,1268,1915,11,43
1/2/2020,1/1/2018,632,1915,11,44
1/2/2020,12/29/2019,569,1915,11,33
1/2/2020,12/30/2019,26,1915,11,22
1/2/2020,12/28/2019,1241,1915,11,12
1/2/2020,1/1/2018,66,1669,11,52
