date,month,year,day,name,open,close,high,low,volume,volume_type
2014-01-02,1,2014,2,FB,54.86,54.71,55.22,54.19,43257622,medium
2014-01-02,1,2014,2,AAPL,79.38,79.02,79.58,78.86,8398851,low
2014-01-02,1,2014,2,GOOGL,557.73,556.56,558.88,554.13,1822719,medium
2014-01-02,1,2014,2,MSFT,37.35,37.16,37.4,37.1,30643745,medium
2014-01-02,1,2014,2,AMZN,398.8,397.97,399.36,394.02,2140246,medium
2014-01-03,1,2014,3,FB,55,54.56,55.65,54.53,38287706,medium
2014-01-03,1,2014,3,GOOGL,557.5,552.5,558.47,552.47,1669229,medium
2014-01-03,1,2014,3,MSFT,37.2,36.91,37.22,36.6,31134795,medium
2014-01-03,1,2014,3,AAPL,79,77.28,79.1,77.2,14043410,low
2014-01-03,1,2014,3,AMZN,398.29,396.44,402.71,396.22,2213512,medium
2014-01-06,1,2014,6,MSFT,36.86,36.13,36.89,36.11,43615035,medium
2014-01-06,1,2014,6,AMZN,396.13,393.63,397,388.42,3172207,medium
2014-01-06,1,2014,6,AAPL,76.78,77.7,78.11,76.23,14765593,low
2014-01-06,1,2014,6,GOOGL,556.51,558.66,559.43,553.22,1770782,medium
2014-01-06,1,2014,6,FB,54.39,57.2,57.26,54.05,68974359,high
2014-01-07,1,2014,7,FB,57.67,57.92,58.55,57.22,77329009,high
2014-01-07,1,2014,7,AAPL,77.76,77.15,77.99,76.85,11347538,low
2014-01-07,1,2014,7,MSFT,36.3,36.41,36.49,36.21,35924726,medium
2014-01-07,1,2014,7,AMZN,395.04,398.03,398.47,394.29,1916684,low
2014-01-07,1,2014,7,GOOGL,562.49,569.43,569.85,560.58,2553999,medium
2014-01-08,1,2014,8,AAPL,76.97,77.64,77.94,76.96,9240955,low
2014-01-08,1,2014,8,AMZN,398.47,401.92,403,396.04,2316903,medium
2014-01-08,1,2014,8,MSFT,36.05,35.76,36.14,35.58,59979542,medium
2014-01-08,1,2014,8,GOOGL,573.66,570.62,573.66,566.65,2243444,medium
2014-01-08,1,2014,8,FB,57.59,58.23,58.41,57.23,56800776,high
2014-01-09,1,2014,9,AAPL,78.11,76.65,78.12,76.48,9986457,low
2014-01-09,1,2014,9,AMZN,403.75,401.01,406.89,398.44,2103793,low
2014-01-09,1,2014,9,GOOGL,571.62,565.12,572.11,562.78,2085565,medium
2014-01-09,1,2014,9,FB,58.66,57.22,58.96,56.65,92349222,high
2014-01-09,1,2014,9,MSFT,35.88,35.53,35.91,35.4,36520448,medium
2014-01-10,1,2014,10,AAPL,77.12,76.13,77.26,75.87,10902952,low
2014-01-10,1,2014,10,GOOGL,569.54,565.09,569.54,561.13,2145560,medium
2014-01-10,1,2014,10,MSFT,35.94,36.04,36.15,35.75,40558766,medium
2014-01-10,1,2014,10,FB,57.13,57.94,58.3,57.06,42529258,medium
2014-01-10,1,2014,10,AMZN,402.04,397.66,403.76,393.8,2681701,medium
2014-01-13,1,2014,13,AAPL,75.71,76.53,77.5,75.7,13551549,low
2014-01-13,1,2014,13,MSFT,36,34.98,36.02,34.83,45923872,medium
2014-01-13,1,2014,13,GOOGL,563.28,561.49,573.45,558.59,2425615,medium
2014-01-13,1,2014,13,FB,57.89,55.91,58.25,55.38,63106519,high
2014-01-13,1,2014,13,AMZN,397.67,390.98,399.78,388.45,2846507,medium
2014-01-14,1,2014,14,FB,56.48,57.74,57.78,56.1,37590987,medium
2014-01-14,1,2014,14,AAPL,76.86,78.06,78.1,76.81,11962053,low
2014-01-14,1,2014,14,GOOGL,568.98,574.7,575.5,564.04,2484514,medium
2014-01-14,1,2014,14,MSFT,34.71,35.78,35.88,34.63,41627325,medium
2014-01-14,1,2014,14,AMZN,392.13,397.54,398.63,391.29,2340401,medium
2014-01-15,1,2014,15,AMZN,398.94,395.87,399.31,392.53,2678794,medium
2014-01-15,1,2014,15,FB,58,57.6,58.57,57.27,33730619,medium
2014-01-15,1,2014,15,GOOGL,576.5,574.31,577.5,571.9,1951012,medium
2014-01-15,1,2014,15,AAPL,79.07,79.62,80.03,78.81,14067517,low
2014-01-15,1,2014,15,MSFT,35.91,36.76,36.79,35.85,44909545,medium
2014-01-16,1,2014,16,GOOGL,574.55,578.11,578.96,574,1685699,medium
2014-01-16,1,2014,16,FB,57.3,57.19,58.02,56.83,34599775,medium
2014-01-16,1,2014,16,AAPL,79.29,79.18,79.55,78.81,8210190,low
2014-01-16,1,2014,16,MSFT,36.78,36.89,37,36.31,38035708,medium
2014-01-16,1,2014,16,AMZN,393.68,395.8,399.29,389.41,2602506,medium
2014-01-17,1,2014,17,GOOGL,578.42,575.27,580.32,572.1,2766140,medium
2014-01-17,1,2014,17,MSFT,36.83,36.38,36.83,36.15,46298736,medium
2014-01-17,1,2014,17,AMZN,394.26,399.61,403.49,393.66,4508791,medium
2014-01-17,1,2014,17,FB,57.25,56.3,57.82,56.07,40883205,medium
2014-01-17,1,2014,17,AAPL,78.78,77.24,78.87,77.13,15489527,low
2014-01-21,1,2014,21,FB,56.6,58.51,58.58,56.5,48734147,medium
2014-01-21,1,2014,21,AAPL,77.29,78.44,78.58,77.2,11750792,low
2014-01-21,1,2014,21,MSFT,36.81,36.17,36.82,36.06,31578979,medium
2014-01-21,1,2014,21,AMZN,403.01,407.05,407.8,401.6,3122705,medium
2014-01-21,1,2014,21,GOOGL,580.35,581.85,582,575.65,1981099,medium
2014-01-22,1,2014,22,MSFT,36.26,35.93,36.32,35.75,21965266,medium
2014-01-22,1,2014,22,FB,58.8,57.51,59.31,57.1,61495880,high
2014-01-22,1,2014,22,GOOGL,583.3,582.51,583.95,579.43,1573846,medium
2014-01-22,1,2014,22,AMZN,408,404.54,408.06,402,2069759,low
2014-01-22,1,2014,22,AAPL,78.7,78.79,79.61,78.26,13602762,low
2014-01-23,1,2014,23,AMZN,401,399.87,406.17,397.79,3026272,medium
2014-01-23,1,2014,23,GOOGL,579.97,580.05,581.25,577.18,1951643,medium
2014-01-23,1,2014,23,AAPL,78.55,79.45,79.5,77.83,14425478,low
2014-01-23,1,2014,23,MSFT,36,36.06,36.13,35.52,44515126,medium
2014-01-23,1,2014,23,FB,56.37,56.63,56.68,55.69,47996403,medium
2014-01-24,1,2014,24,AAPL,79.14,78.01,79.37,77.82,15483491,low
2014-01-24,1,2014,24,FB,56.11,54.45,56.42,54.4,55545338,high
2014-01-24,1,2014,24,MSFT,37.5,36.81,37.55,36.53,77051806,high
2014-01-24,1,2014,24,GOOGL,576.51,561.92,576.77,561.5,3926347,high
2014-01-24,1,2014,24,AMZN,398.16,387.6,400.2,387.27,4513038,medium
2014-01-27,1,2014,27,FB,54.69,53.55,54.94,51.85,74142331,high
2014-01-27,1,2014,27,MSFT,36.8,36.03,36.89,35.98,44485767,medium
2014-01-27,1,2014,27,GOOGL,562.83,550.62,563.25,541.14,4362978,high
2014-01-27,1,2014,27,AMZN,390.5,386.28,394.1,380.49,3944752,medium
2014-01-27,1,2014,27,AAPL,78.68,78.64,79.26,77.96,20602736,medium
2014-01-28,1,2014,28,GOOGL,554.97,561.51,562.87,554.97,2217723,medium
2014-01-28,1,2014,28,AMZN,387.4,394.43,394.74,387.12,2901611,medium
2014-01-28,1,2014,28,MSFT,36.11,36.27,36.39,35.75,36225755,medium
2014-01-28,1,2014,28,AAPL,72.7,72.36,73.57,71.72,38119083,medium
2014-01-28,1,2014,28,FB,54.13,55.14,55.28,54,48364998,medium
2014-01-29,1,2014,29,AMZN,392.16,384.2,392.85,383.24,3399294,medium
2014-01-29,1,2014,29,FB,54.6,53.53,54.95,53.19,98089932,high
2014-01-29,1,2014,29,GOOGL,559.56,553.46,560.88,549.71,2411641,medium
2014-01-29,1,2014,29,AAPL,72,71.54,72.48,71.23,17991828,low
2014-01-29,1,2014,29,MSFT,36.04,36.66,36.88,35.9,52790351,medium
2014-01-30,1,2014,30,FB,62.1,61.08,62.5,60.46,150438699,high
2014-01-30,1,2014,30,AMZN,393.77,403.01,406.25,387.7,10900116,high
2014-01-30,1,2014,30,AAPL,71.78,71.4,72.36,70.96,24251827,medium
2014-01-30,1,2014,30,MSFT,36.82,36.86,36.88,36.23,35111959,medium
2014-01-30,1,2014,30,GOOGL,572.43,567.7,576.25,563.63,5141107,high
2014-01-31,1,2014,31,MSFT,36.95,37.84,37.89,36.56,93190755,high
2014-01-31,1,2014,31,FB,60.25,62.57,63.37,60.17,87930298,high
2014-01-31,1,2014,31,AMZN,372.2,358.69,375.45,357.76,16181519,high
2014-01-31,1,2014,31,AAPL,70.73,71.51,71.65,70.51,16619492,low
2014-01-31,1,2014,31,GOOGL,585.67,590.49,593.27,575.57,5569794,high
2014-02-03,2,2014,3,GOOGL,589.38,566.72,590.86,566,4575602,high
2014-02-03,2,2014,3,AAPL,71.77,71.65,72.53,71.33,14374396,low
2014-02-03,2,2014,3,AMZN,358.99,346.15,360.85,340.1,10290934,high
2014-02-03,2,2014,3,FB,63.17,61.48,63.77,60.7,75105994,high
2014-02-03,2,2014,3,MSFT,37.77,36.48,37.99,36.43,64102391,high
2014-02-04,2,2014,4,GOOGL,568.55,569.08,577.5,568.51,2815737,medium
2014-02-04,2,2014,4,MSFT,36.99,36.35,37.19,36.25,55526924,medium
2014-02-04,2,2014,4,AAPL,72.27,72.68,72.78,71.82,13467649,low
2014-02-04,2,2014,4,AMZN,349.52,347.95,354,344.02,4821177,medium
2014-02-04,2,2014,4,FB,62,62.75,63.14,61.82,46064897,medium
2014-02-05,2,2014,5,AMZN,346,346.45,349.37,337.73,4439010,medium
2014-02-05,2,2014,5,AAPL,72.38,73.23,73.61,72.32,11760308,low
2014-02-05,2,2014,5,GOOGL,572.13,571.6,575.39,564.01,2400619,medium
2014-02-05,2,2014,5,MSFT,36.27,35.82,36.47,35.8,55841097,medium
2014-02-05,2,2014,5,FB,62.72,62.19,63.16,61.27,53032420,medium
2014-02-06,2,2014,6,FB,61.52,62.16,62.78,61.46,42153754,medium
2014-02-06,2,2014,6,AMZN,348.28,354.59,354.82,347.4,3340542,medium
2014-02-06,2,2014,6,AAPL,72.94,73.22,73.36,72.54,9213889,low
2014-02-06,2,2014,6,MSFT,35.8,36.18,36.25,35.69,35380994,medium
2014-02-06,2,2014,6,GOOGL,575.05,579.98,580.08,573.78,1948254,medium
2014-02-07,2,2014,7,AAPL,74.46,74.24,74.7,73.91,13376943,low
2014-02-07,2,2014,7,AMZN,358.67,361.08,361.8,352.49,4347189,medium
2014-02-07,2,2014,7,FB,62.22,64.32,64.57,62.22,60835746,high
2014-02-07,2,2014,7,GOOGL,583.82,588.72,588.95,580.28,2687308,medium
2014-02-07,2,2014,7,MSFT,36.32,36.56,36.59,36.01,33348008,medium
